code,tradeStatus_x,code_name_x
sh.600172,1,黄河旋风
sh.600173,1,卧龙地产
sh.600176,1,中国巨石
sh.600177,1,雅戈尔
sh.600178,1,东安动力
sh.600180,1,瑞茂通
sh.600182,1,S佳通
sh.600183,1,生益科技
sh.600184,1,光电股份
sh.600185,1,格力地产
sh.600186,1,莲花健康
sh.600187,1,国中水务
sh.600188,1,兖矿能源
sh.600189,1,泉阳泉
sh.600190,1,锦州港
sh.600191,1,华资实业
sh.600192,1,长城电工
sh.600193,1,创兴资源
sh.600195,1,中牧股份
sh.600196,1,复星医药
sh.600197,1,伊力特
sh.600198,1,大唐电信
sh.600199,1,金种子酒
sh.600200,1,江苏吴中
sh.600201,1,生物股份
sh.600202,1,哈空调
sh.600203,1,福日电子
sh.600206,1,有研新材
sh.600207,1,安彩高科
sh.600208,1,新湖中宝
sh.600210,1,紫江企业
sh.600211,1,西藏药业
sh.600212,1,绿能慧充
sh.600213,1,亚星客车
sh.600215,1,派斯林
sh.600216,1,浙江医药
sh.600217,1,中再资环
sh.600218,1,全柴动力
sh.600219,1,南山铝业
sh.600220,1,江苏阳光
sh.600221,1,海航控股
sh.600222,1,太龙药业
sh.600223,1,福瑞达
sh.600225,1,卓朗科技
sh.600226,1,瀚叶股份
sh.600227,1,赤天化
sh.600228,1,返利科技
sh.600229,1,城市传媒
sh.600230,1,沧州大化
sh.600231,1,凌钢股份
sh.600232,1,金鹰股份
sh.600233,1,圆通速递
sh.600234,1,科新发展
sh.600235,1,民丰特纸
sh.600236,1,桂冠电力
sh.600237,1,铜峰电子
sh.600238,1,海南椰岛
sh.600239,1,云南城投
sh.600241,1,时代万恒
sh.600243,1,青海华鼎
sh.600246,1,万通发展
sh.600248,1,陕建股份
sh.600249,1,两面针
sh.600250,1,南纺股份
sh.600251,1,冠农股份
sh.600252,1,中恒集团
sh.600255,1,鑫科材料
sh.600256,1,广汇能源
sh.600257,1,大湖股份
sh.600258,1,首旅酒店
sh.600259,1,广晟有色
sh.600261,1,阳光照明
sh.600262,1,北方股份
sh.600265,1,ST景谷
sh.600266,1,城建发展
sh.600267,1,海正药业
sh.600268,1,国电南自
sh.600269,1,赣粤高速
sh.600271,1,航天信息
sh.600272,1,开开实业
sh.600273,1,嘉化能源
sh.600276,1,恒瑞医药
sh.600277,1,亿利洁能
sh.600278,1,东方创业
sh.600280,1,中央商场
sh.600281,1,华阳新材
sh.600282,1,南钢股份
sh.600283,1,钱江水利
sh.600284,1,浦东建设
sh.600285,1,羚锐制药
sh.600287,1,江苏舜天
sh.600288,1,大恒科技
sh.600289,1,ST信通
sh.600290,1,*ST华仪
sh.600293,1,三峡新材
sh.600295,1,鄂尔多斯
sh.600297,1,广汇汽车
sh.600298,1,安琪酵母
sh.600299,1,安迪苏
sh.600300,1,维维股份
sh.600301,1,华锡有色
sh.600302,1,标准股份
sh.600303,1,ST曙光
sh.600305,1,恒顺醋业
sh.600306,1,*ST商城
sh.600307,1,酒钢宏兴
sh.600308,1,华泰股份
sh.600309,1,万华化学
sh.600310,1,广西能源
sh.600312,1,平高电气
sh.600315,1,上海家化
sh.600316,1,洪都航空
sh.600318,1,新力金融
sh.600319,1,亚星化学
sh.600320,1,振华重工
sh.600321,1,正源股份
sh.600322,1,津投城开
sh.600323,1,瀚蓝环境
sh.600325,1,华发股份
sh.600326,1,西藏天路
sh.600327,1,大东方
sh.600328,1,中盐化工
sh.600329,1,达仁堂
sh.600330,1,天通股份
sh.600331,1,宏达股份
sh.600332,1,白云山
sh.600333,1,长春燃气
sh.600335,1,国机汽车
sh.600336,1,澳柯玛
sh.600337,1,美克家居
sh.600338,1,西藏珠峰
sh.600339,1,中油工程
sh.600340,1,华夏幸福
sh.600343,1,航天动力
sh.600345,1,长江通信
sh.600346,1,恒力石化
sh.600348,1,华阳股份
sh.600350,1,山东高速
sh.600351,1,亚宝药业
sh.600352,1,浙江龙盛
sh.600353,1,旭光电子
sh.600354,1,敦煌种业
sh.600355,1,精伦电子
sh.600356,1,恒丰纸业
sh.600358,1,国旅联合
sh.600359,1,新农开发
sh.600360,1,华微电子
sh.600361,1,创新新材
sh.600362,1,江西铜业
sh.600363,1,联创光电
sh.600365,1,ST通葡
sh.600366,1,宁波韵升
sh.600367,1,红星发展
sh.600368,1,五洲交通
sh.600369,1,西南证券
sh.600370,1,三房巷
sh.600371,1,万向德农
sh.600373,1,中文传媒
sh.600375,1,汉马科技
sh.600376,1,首开股份
sh.600377,1,宁沪高速
sh.600378,1,昊华科技
sh.600379,1,宝光股份
sh.600380,1,健康元
sh.600381,1,青海春天
sh.600382,1,广东明珠
sh.600383,1,金地集团
sh.600386,1,北巴传媒
sh.600387,1,ST海越
sh.600388,1,龙净环保
sh.600389,1,江山股份
sh.600390,1,五矿资本
sh.600391,1,航发科技
sh.600392,1,盛和资源
sh.600395,1,盘江股份
sh.600396,1,*ST金山
sh.600398,1,海澜之家
sh.600399,1,抚顺特钢
sh.600400,1,红豆股份
sh.600403,1,大有能源
sh.600405,1,动力源
sh.600406,1,国电南瑞
sh.600408,1,安泰集团
sh.600409,1,三友化工
sh.600410,1,华胜天成
sh.600415,1,小商品城
sh.600416,1,湘电股份
sh.600418,1,江淮汽车
sh.600419,1,天润乳业
sh.600420,1,国药现代
sh.600421,1,华嵘控股
sh.600422,1,昆药集团
sh.600423,1,柳化股份
sh.600425,1,青松建化
sh.600426,1,华鲁恒升
sh.600428,1,中远海特
sh.600429,1,三元股份
sh.600433,1,冠豪高新
sh.600436,1,片仔癀
sh.600438,1,通威股份
sh.600439,1,瑞贝卡
sh.600444,1,国机通用
sh.600446,1,金证股份
sh.600448,1,华纺股份
sh.600452,1,涪陵电力
sh.600455,1,博通股份
sh.600456,1,宝钛股份
